_RAJ2000,_DEJ2000,AGC,RAJ2000,DEJ2000,cz,W50,e_W50,SdV,e_SdV,Dist,logMHI,e_logMHI,mug0,e_mug0,rh,e_rh,gMAG,e_gMAG,g-r,e_g-r,Ag,Ar,Set,H11
359.62459999999993,30.671699999999998,332328,359.62459999999993,30.671699999999998,4801,74,6,0.6100000143051147,0.05000000074505806,68,8.819999694824219,0.07000000029802322,24.15999984741211,0.11999999731779099,4.400000095367432,0.6000000238418579,-16.5,0.4000000059604645,0.4699999988079071,0.17000000178813934,0.1899999976158142,0.14000000059604645,B,1
6.0308,5.9417,103797,6.030799999999999,5.941699999999999,7242,94,39,0.7900000214576721,0.09000000357627869,98,9.260000228881836,0.07000000029802322,23.84000015258789,0.14000000059604645,3.200000047683716,0.5,-16.200000762939453,0.5,0.4399999976158142,0.20999999344348907,0.09000000357627869,0.05999999865889549,B,0
15.2196,16.082499999999996,748801,15.219599999999998,16.0825,4369,104,2,1.4299999475479126,0.05999999865889549,60,9.09000015258789,0.07000000029802322,23.549999237060547,0.12999999523162842,3.299999952316284,0.5,-16.5,0.4000000059604645,0.4699999988079071,0.18000000715255737,0.2199999988079071,0.1599999964237213,B,1
18.356299999999997,6.343899999999999,114882,18.356299999999997,6.343899999999999,7811,141,33,1.0299999713897705,0.07000000029802322,107,9.4399995803833,0.05000000074505806,24.110000610351562,0.1599999964237213,2.799999952316284,0.6000000238418579,-15.600000381469727,0.6000000238418579,-0.14000000059604645,0.27000001072883606,0.15000000596046448,0.10999999940395355,B,0
21.986699999999995,14.501899999999996,748816,21.986699999999995,14.501899999999997,6407,77,6,1.409999966621399,0.05999999865889549,87,9.399999618530273,0.05000000074505806,24.520000457763672,0.15000000596046448,6.800000190734863,1.5,-17.100000381469727,0.6000000238418579,0.6800000071525574,0.20999999344348907,0.12999999523162842,0.10000000149011612,B,1
30.869999999999994,26.69719999999999,122791,30.869999999999997,26.697199999999995,4951,71,7,0.5600000023841858,0.05000000074505806,69,8.800000190734863,0.07000000029802322,24.200000762939453,0.14000000059604645,3.5999999046325684,0.6000000238418579,-16.0,0.5,0.4300000071525574,0.20000000298023224,0.27000001072883606,0.20000000298023224,B,1
44.01459999999999,1.9696999999999996,123953,44.014599999999994,1.9696999999999998,5267,39,9,0.7200000286102295,0.05999999865889549,73,8.960000038146973,0.07000000029802322,23.600000381469727,0.12999999523162842,2.0,0.30000001192092896,-15.300000190734863,0.4000000059604645,0.4399999976158142,0.20000000298023224,0.3400000035762787,0.23999999463558197,B,0
113.75129999999999,26.6589,749251,113.75129999999999,26.658899999999996,7261,37,10,0.4099999964237213,0.03999999910593033,106,9.039999961853027,0.05999999865889549,24.059999465942383,0.14000000059604645,3.299999952316284,0.6000000238418579,-16.0,0.5,0.28999999165534973,0.23999999463558197,0.1899999976158142,0.14000000059604645,B,1
115.63249999999996,10.321399999999999,174593,115.63249999999998,10.321399999999999,4834,52,15,0.5799999833106995,0.05000000074505806,71,8.84000015258789,0.07000000029802322,23.75,0.18000000715255737,3.5,0.5,-16.5,0.4000000059604645,0.6100000143051147,0.41999998688697815,0.10000000149011612,0.07000000029802322,B,1
127.15749999999998,14.973099999999997,188768,127.15749999999998,14.973099999999999,5864,40,17,0.36000001430511475,0.03999999910593033,87,8.8100004196167,0.07000000029802322,24.06999969482422,0.15000000596046448,3.299999952316284,0.6000000238418579,-16.0,0.5,0.33000001311302185,0.2199999988079071,0.15000000596046448,0.10999999940395355,B,1
131.765,0.1667,189096,131.765,0.1667,3964,63,5,0.9300000071525574,0.07000000029802322,60,8.899999618530273,0.07999999821186066,23.43000030517578,0.11999999731779099,2.4000000953674316,0.30000001192092896,-16.0,0.4000000059604645,0.41999998688697815,0.18000000715255737,0.10999999940395355,0.07999999821186066,B,0
133.54539999999997,28.9678,189167,133.54539999999997,28.967799999999997,3945,32,7,0.4000000059604645,0.03999999910593033,58,8.5,0.09000000357627869,23.809999465942383,0.15000000596046448,2.200000047683716,0.4000000059604645,-15.300000190734863,0.5,0.23000000417232513,0.20000000298023224,0.10999999940395355,0.07999999821186066,B,0
134.27329999999998,9.1183,182467,134.27329999999998,9.1183,3970,34,8,0.550000011920929,0.05000000074505806,60,8.65999984741211,0.07999999821186066,23.610000610351562,0.11999999731779099,2.4000000953674316,0.30000001192092896,-15.800000190734863,0.4000000059604645,-0.03999999910593033,0.18000000715255737,0.18000000715255737,0.12999999523162842,B,1
138.6675,28.510799999999993,198563,138.6675,28.510799999999996,6413,83,13,0.699999988079071,0.05999999865889549,95,9.180000305175781,0.05999999865889549,24.06999969482422,0.1599999964237213,2.799999952316284,0.6000000238418579,-15.600000381469727,0.6000000238418579,0.38999998569488525,0.25,0.10000000149011612,0.07000000029802322,B,0
139.43710000000002,10.504399999999999,193800,139.4371,10.504399999999999,5191,98,18,0.7200000286102295,0.05999999865889549,77,9.0,0.07000000029802322,23.729999542236328,0.14000000059604645,2.200000047683716,0.30000001192092896,-15.5,0.4000000059604645,0.3499999940395355,0.20000000298023224,0.1599999964237213,0.11999999731779099,B,1
141.30790000000002,3.3131,198540,141.3079,3.3130999999999995,4209,36,3,1.409999966621399,0.05000000074505806,63,9.130000114440918,0.07000000029802322,23.530000686645508,0.11999999731779099,2.5,0.30000001192092896,-15.899999618530273,0.4000000059604645,0.4000000059604645,0.18000000715255737,0.14000000059604645,0.10000000149011612,B,0
149.8658,16.0078,193798,149.86579999999998,16.0078,4175,62,5,0.9700000286102295,0.05999999865889549,62,8.949999809265137,0.07000000029802322,24.010000228881836,0.17000000178813934,2.0,0.4000000059604645,-15.0,0.6000000238418579,0.1899999976158142,0.25,0.10999999940395355,0.07999999821186066,B,1
150.66169999999997,12.155799999999997,205072,150.66169999999997,12.1558,2965,26,6,0.36000001430511475,0.03999999910593033,45,8.239999771118164,0.10999999940395355,23.739999771118164,0.12999999523162842,2.0,0.30000001192092896,-15.300000190734863,0.4000000059604645,0.4099999964237213,0.1899999976158142,0.15000000596046448,0.10999999940395355,B,0
156.8192,20.215299999999996,208764,156.81919999999997,20.2153,7195,35,4,0.38999998569488525,0.029999999329447746,107,9.029999732971191,0.05000000074505806,23.200000762939453,0.12999999523162842,2.200000047683716,0.30000001192092896,-16.100000381469727,0.4000000059604645,0.20999999344348907,0.1899999976158142,0.07000000029802322,0.05000000074505806,B,0
